Drug_name,drug_approved,drug_withdrawn,drugBank_id,cancer,comment,num_trials_similar_drug,original_num_trials,moa,target,disease.area,indication,phase,description,cancer_desc
Ximelagatran,True,True,DB04898,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Ximelagatran is an anticoagulant intended to become a replacement for warfarin by overcoming the dietary restrictions, drug interaction, and monitoring issues associated with the former. In 2006, its manufacturer AstraZeneca announced that it would not attempt to market ximelagatran after reports of hepatotoxicity (liver damage) during trials, and to discontinue its distribution in countries where the drug had been approved.",False
Flibanserin,True,False,DB04908,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,serotonin receptor agonist,"DRD4, HTR1A, HTR2A",neurology/psychiatry,hypoactive sexual desire disorder,Launched,"Flibanserin is the first drug to be approved for hypoactive sexual desire disorder (HSDD) in premenopausal women by the FDA in August 2015. It was originally developed as an antidepressant medication by Boehringer Ingelheim, but showed lack of efficacy in trials and was further developed as a hypoactive sexual disorder drug by Sprout Pharmaceuticals. Flibanserin's mechanism of action is attributed to its high affinity for 5-HTA1 and 5-HTA2 receptors, displaying agonist activity on 5-HTA1 and antagonist on 5-HTA2, resulting in lowering of serotonin in the brain as well as an effect on increasing norepinephrine and dopamine neurotransmitters.",False
Permethrin,True,False,DB04930,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"A pyrethroid insecticide commonly used in the treatment of lice infestations and scabies. It is a yellow to light orange-brown, low melt-ing solid or viscous liquid.",False
Iloperidone,True,False,DB04946,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA2C, DRD1, DRD2, DRD3, DRD4, HRH1, HTR1A, HTR2A, HTR6, HTR7",neurology/psychiatry,schizophrenia,Launched,"Iloperidone is an atypical antipsychotic for the treatment of schizophrenia symptoms. Hoechst Marion Roussel Inc. researched the drug until May 1996. In June 1997 they gave the research rights to Titan Pharmaceuticals, who gave the worldwide development, manufacturing, and marketing rights to Novartis in August 1998. On June 9, 2004, Titan Pharmaceuticals gave the Phase III development rights to Vanda Pharmaceuticals. FDA approved on May 9, 2009.",False
Lofexidine,True,False,DB04948,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic receptor agonist,ADRA2A,neurology/psychiatry,opioid withdrawal,Launched,"Lofexidine is a non-opioid centrally acting alpha2-adrenergic receptor agonist that was first approved for the treatment of opioid withdrawal in the United Kingdom in 1992.[A33084] It was first studied for use as an antihypertensive in 1980, but its researched was stopped as it was found less effective for the treatment of  hypertension than clonidine.[T210] Lofexidine was then repurposed for the treatment of opioid withdrawal, as it was seen to be more economical and have fewer side effects than clonidine.[T209] Lofexidine was developed by US Woldmeds LLC and it was approved by the FDA on May 16, 2018.[L2794]",False
Ezogabine,True,False,DB04953,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,potassium channel activator,"KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5",neurology/psychiatry,epilepsy,Launched,"Ezogabine (D23129) is a close structural analog of the centrally acting analgesic flupitrine. It is a neuronal potassium channel opener being developed as a first-in-class antiepileptic drug (AED) and is currently being studied in Phase 3 trials as an adjunctive treatment for partial-onset seizures in adult patients with refractory epilepsy. FDA approved in June 10, 2011 under the name of ezogabine.",False
Ataluren,True,False,DB05016,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"CFTR channel agonist, dystrophin stimulant",DMD,"genetics, pulmonary","duchenne muscular dystrophy (DMD), cystic fibrosis",Launched,"Ataluren is a novel, orally administered drug that targets nonsense mutations. Ataluren is approved for use by the European Medicines Agency to treat Duchenne Muscular Dystrophy in patients aged 5 years and older who are able to walk. More specifically, ataluren is used in the small group of patients whose disease is caused by a specific genetic defect (called a ‘nonsense mutation’) in the dystrophin gene.

This drug does not yet have approval by the US Food and Drug Administration or by Health Canada for any indications.",False
Migalastat,True,False,DB05018,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Fabry disease is a rare, progressive genetic disorder characterized by a defective GLA gene that causes a deficiency in the enzyme alpha-Galactosidase A (alpha-Gal A) [FDA Label, F1107, L4274, L4263]. This enzyme is responsible for breaking down glycosphingolipid substrate that, when deficient in patients with Fabry disease, builds up in the blood vessels, the kidneys, the nerves, the heart, and other organs [FDA Label, F1107, L4274, L4278]. In the U.S., it is estimated that more than 3,000 people are living with Fabry disease, and an estimated more than 50 percent of these diagnosed patients are currently untreated [L4274].

Migalastat (approved and sold under Amicus Therapeutics' brand name Galafold) is subsequently an oral pharmacological chaperone of alpha-Gal A for the treatment of Fabry disease in adults who have amenable GLA variants [FDA Label, F1107, L4274, L4278]. In these patients, migalastat works by stabilizing the body’s own dysfunctional alpha-Gal A enzyme so that it can clear the accumulation of glycosphingolipid disease substrate [FDA Label, F1107, L4274, L4278]. Globally, it is estimated that approximately 35 to 50 percent of Fabry patients may have amenable GLA variants that are treatable with migalastat [L4274].

Given the rarity of Fabry disease and the proportion of Fabry disease patients that could benefit from migalastat therapy, Amicus Therapeutics' brand name Galafold was approved using the Accelerated Approval pathway, under which the FDA may approve drugs for serious conditions where there is an unmet medical need and where a drug is shown to have certain effects that are reasonably likely to predict a clinical benefit to patients [FDA Label, F1107, L4274, L4278]. A further study is required to verify and describe the clinical benefits of Galafold, and the sponsor will be conducting a confirmatory clinical trial of Galafold in adults with Fabry disease [FDA Label, F1107, L4274, L4278].

Additionally, Galafold was alzo granted Priority Review designation, under which the FDA’s goal is to take action on an application within six months of application filing where the agency determines that the drug, if approved, would provide a significant improvement in treating, diagnosing or preventing a serious condition over available therapies [FDA Label, F1107]. Galafold also received Orphan Drug designation, which provides incentives to assist and encourage the development of drugs for rare diseases [FDA Label, F1107].

As of August 2018, migalastat under Amicus Therapeutics' brand name Galafold is currently approved in Australia, Canada, European Union, Israel, Japan, South Korea, Switzerland, and the United States.",False
Indacaterol,True,False,DB05039,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic receptor agonist,"ADRB1, ADRB2",pulmonary,chronic obstructive pulmonary disease (COPD),Launched,"Indacaterol is a novel, ultra-long-acting, rapid onset β(2)-adrenoceptor agonist developed for Novartis for the once-daily management of asthma and chronic obstructive pulmonary disease. It was approved by the European Medicines Agency (EMA) on 30 November 2009 and by the FDA on 1 July 2011. It is marketed in Europe as Onbrez and in America as Arcapta Neohaler. Indacaterol is provided as its maleate salt form. Indacaterol is also a chiral molecule but only the pure R-enantiomer is dispensed.",False
Pretomanid,True,False,DB05154,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,nitric oxide donor,FASN,,,Phase 3,"Persistent forms of tuberculosis (TB) have proven to be a major cause of global morbidity and mortality and a cause for significant concern. Research in recent years has been geared toward the development of novel therapies that target persistent forms of this disease, which have shown resistance to standard therapy regimens.[A182915] Pretomanid is an antimycobacterial agent that is administered with [Bedaquiline] and [Linezolid] to treat resistant forms of pulmonary TB. It was the first TB drug developed by a nonprofit organization, known as TB Alliance, and was granted FDA approval on August 14, 2019.[L8048,L8066] Unlike other therapeutic regimens for the treatment of resistant TB, which may take 18 months or longer and may not be effective, the pretomanid-containing regimen allows for a more efficacious and shorter duration of treatment with fewer drugs.[L8066]",False
Silver sulfadiazine,True,False,DB05245,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Silver sulfadiazine is a sulfa derivative topical antibacterial used primarily on second- and third-degree burns.,False
Methsuximide,True,False,DB05246,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,T-type calcium channel binder,"CACNA1G, CACNA1H, CACNA1I",neurology/psychiatry,seizures,Launched,Mesuximide (or methsuximide) is an anticonvulsant medication. It is sold by Pfizer under the name Petinutin.,False
Rotigotine,True,False,DB05271,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dopamine receptor agonist,"ADRA2B, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A",neurology/psychiatry,"Parkinson's Disease, restless leg syndrome",Launched,"Rotigotine (Neupro) is a non-ergoline dopamine agonist indicated for the treatment of Parkinson's disease (PD) and restless legs syndrome (RLS) in Europe and the United States. It is formulated as a once-daily transdermal patch which provides a slow and constant supply of the drug over the course of 24 hours.

Like other dopamine agonists, rotigotine has been shown to possess antidepressant effects and may be useful in the treatment of depression as well.

Rotigotine was developed by Aderis Pharmaceuticals. In 1998 Aderis licensed worldwide development and commercialization rights to Schwarz Pharma of Germany. It was approved by the European Medicines Agency in 2006 and by the FDA in 2007. However, all Neupro patches in the United States and some of Europe were recalled in 2008 due to delivery mechanism issues. Rotigotine has been authorized as a treatment for RLS since August 2008.",False
Pimavanserin,True,False,DB05316,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,serotonin receptor inverse agonist,"DRD2, HTR2A",,,Launched,"Pimavanserin (ACP-103), marketed under the trade name Nuplazid, is a drug developed by Acadia Pharmaceuticals which acts as an inverse agonist on the serotonin receptor subtype 5-HT2A, with 40x selectivity over 5-HT2C, and no significant affinity or activity at 5-HT2B or dopamine receptors. As of September 3, 2009, pimavanserin has not met expectations for Phase III clinical trials for the treatment of Parkinson's disease psychosis. It is in Phase II trials for adjunctive treatment of schizophrenia alongside an antipsychotic medication and is expected to improve the effectiveness and side effect profile of antipsychotics. The results of a clinical trial examining the efficacy, tolerability and safety of adjunctive pimavanserin to risperidone and haloperidol were published in November 2012 and the results showed that pimavanserin potentiated the antipsychotic effects of subtherapeutic doses of risperidone and improve the tolerability of haloperidol treatment by reducing the incidence of extrapyramidal symptoms. On September 2, 2014, the United States Food and Drug administration granted Breakthrough Therapy status to Acadia's New Drug Application for pimavanserin.",False
Telaprevir,True,True,DB05521,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,HCV inhibitor,"CTSA, PGR",infectious disease,hepatitis C,Launched,"Telaprevir is a direct acting antiviral medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as Telaprevir. Telaprevir is an inhibitor of NS3/4A, a serine protease enzyme, encoded by HCV genotype 1 [FDA Label]. These enzymes are essential for viral replication and serve to cleave the virally encoded polyprotein into mature proteins like NS4A, NS4B, NS5A and NS5B. The barrier for develoment of resistance to NS3/4A inhibitors is lower than that of NS5B inhibitors, another class of DAAs [A19593]. Subtitutions at amino acid positions 155, 156, or 168 are known to confer resistance. The substitutions of the enzyme's catalytic triad consisting of H58, D82, and S139 are also likely to alter the affinity of the drug for NS3/4A or the activity of the enzyme itself. Despite this disadvantage Telaprevir is still effective against HCV when paired with [DB00811], [DB00008], and [DB00022].

Telaprevir, [DB00811], [DB00008], and [DB00022] were used with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of daily administration of the combination therapy followed by 12 or 36 weeks of therapy with [DB00811], [DB00008], and [DB00022]. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626].

Telaprevir was available as a fixed dose product (tradename Incivek) used for the treatment of chronic Hepatitis C. Approved in May 2011 by the FDA, Incivek was indicated for the treatment of HCV genotype 1 in combination with [DB00811], [DB00008], and [DB00022] [FDA Label]. Incivek has since been withdrawn from the market.",True
Apremilast,True,False,DB05676,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,phosphodiesterase inhibitor,"PDE4A, PDE4B, PDE4C, PDE4D","dermatology, rheumatology","psoriasis, psoriatic arthritis",Launched,"Apremilast, also known as Otezla, is a phosphodiesterase 4 (PDE4) inhibitor used to treat various types of symptoms resulting from certain inflammatory autoimmune diseases. It belongs to the same drug class as [Roflumilast] and [Crisaborole].[A181244,L7495] Initially approved in 2014, it is marketed by Celgene.[L7501] In July 2019, apremilast was granted a new FDA approval for the treatment of oral ulcers associated with Behcet's disease, an autoimmune condition that causes recurrent skin, blood vessel, and central nervous system inflammation.[A181216]",False
Cariprazine,True,False,DB06016,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dopamine receptor antagonist,"DRD2, DRD3",neurology/psychiatry,schizophrenia,Launched,"Cariprazine is an antipsychotic drug developed by Gedeon Richter and marketed by Actavis under the trade name Vraylar. Cariprazine acts as a D2 and D3 receptor partial agonist, with high selectivity towards the D3 receptor. This mechanism is relatively unique, since many other antipsychotics are D2 and 5-HT2A agonists. Cariprazine was approved by the FDA in September 2015 and is indicated in the treatment of schizophrenia and bipolar disorder. Action on the dopaminergic systems makes it also potentially useful as an add-on therapy in major depressive disorder.",False
Lumateperone,True,False,DB06077,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Schizophrenia is a complex mental illness and impacts approximately 1% of the population.[L10902] Although there are several antipsychotics including [aripiprazole], [paliperidone] and [clozapine] available for clinical use, they are generally accompanied by significant metabolic and/or neurological adverse effects.[A189093]

Lumateperone is a newly approved 2nd generation antipsychotic currently indicated for the treatment of schizophrenia.[A189093] It has a unique receptor binding profile and differs from other antipsychotics in that it modulates glutamate, serotonin and dopamine, which are all neurotransmitters that contribute to the pathophysiology of schizophrenia.[A189093,A189174]

The data so far indicates that lumateperone can alleviate both positive and negative symptoms of schizophrenia.[A189093] Further, not only is the new antipsychotic selective for dopamine (D2) receptors in the mesolimbic and mesocortical brain regions, but it also has minimal off-target activity.[A189093] Both characteristics lend to a more favourable adverse effect profile and ultimately safer drug.[A189093,L10908]",False
Cenobamate,True,False,DB06119,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Cenobamate, or YKP-3089, is an antiepileptic drug developed by SK Pharmaceuticals and used to treat partial onset seizures.[A188442,L10653] The exact mechanism of action has not been described in the literature, though it positively modulates GABA<sub>A</sub> and inhibits voltage gated sodium channels.[L10653]

Cenobamate was granted FDA approval on 21 November 2019.[L10653]",False
Sertindole,True,True,DB06144,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA1D, DRD2, DRD3, DRD4, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2C, HTR6, KCNH2",,,Withdrawn,"Sertindole, a neuroleptic, is one of the newer antipsychotic medications available. Serdolect is developed by the Danish pharmaceutical company H. Lundbeck. It is a phenylindole derivative used in the treatment of schizophrenia. It was first marketed in 1996 in several European countries before being withdrawn two years later because of numerous cardiac adverse effects. It has once again been approved and should soon be available on the French and Australian market.",False
Sulfathiazole,True,False,DB06147,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dihydropteroate synthase inhibitor,,,,Launched,"Sulfathiazole is a short-acting sulfa drug. It used to be a common oral and topical antimicrobial until less toxic alternatives were discovered. It is still occasionally used, sometimes in combination with sulfabenzamide and sulfacetamide.",False
Sulfadimethoxine,True,False,DB06150,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dihydropteroate synthetase inhibitor,,,,Launched,"Sulfadimethoxine is a sulfonamide antibiotic. Sulfadimethoxine is used to treat many infections including treatment of respiratory, urinary tract, enteric, and soft tissue infections. It is most frequently used in veterinary medicine, although it is approved in some countries for use in humans. Sulfadimethoxine inhibits bacterial synthesis of folic acid (pteroylglutamic acid) from para-aminobenzoic acid. Sulfadimethoxine is approved in Russia for use in humans, including children, and has been successfully used there for more than 35 years. It is widely available in Russia as an over-the-counter drug manufactured by a number of Russian pharmaceutical companies.",False
Pizotifen,True,False,DB06153,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,serotonin receptor antagonist,"HTR1A, HTR2A, HTR2C",neurology/psychiatry,migraine headache,Launched,"Pizotifen belongs to the class of antamines and is related to [DB00434] [A32532]. It is a potent serotonin and tryptamine antagonist that has been used for migraine prevention for many years. It exhibits weak anticholinergic, antihistamine, and antikinin actions in addition to sedative and appetite-stimulating properties [L2292]. Some patients receiving pizotifen treatment developed tolerance with the prolonged use of the drug [L2292]. Numerous studies have revealed the potential antidepressant effects of pizotifen, which are independent of its antimigraine action [A32538]. While it is suggested that pizotifen may act similarly to the classic tricyclic antidepressants [A32538], its full mechanism of antidepressant action is not fully elucidated. Pizotifen hydrochloride is an active ingredient in Sandomigran, which is used for the prophylactic management of migraines. Sandomigran is available in a number of countries but is not approved by the FDA nor EMA.",False
Pentaerythritol tetranitrate,True,False,DB06154,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Pentaerythritol tetranitrate is the nitrate ester of pentaerythritol that possesses explosive properties. When mixed with a plasticizer, this chemical forms a plastic explosive. It is recognized by the FDA to be a coronary vasodilator in the treatment of heart conditions such as angina [L2395].

It is a pentaerythritol nitrate in which all four hydroxy groups of pentaerythritol have been converted to the corresponding nitrate ester. It is a vasodilator with properties that are quite similar to those of glyceryl trinitrate, however, with a more prolonged duration of action. It is also one of the most powerful high explosives known and is a component of the plastic explosive known as Semtex [L2393].

PETN has the chemical formula C5H8N4O12. It is formed by reacting pentaerythritol (C5H12O4), an alcohol commonly used in paints and varnishes, with nitric acid (HNO2). The reacting solution is chilled to precipitate the PETN.  It is then filtered out, washed, dried, and recrystallized to produce a colorless crystalline material that is stored and shipped as a mixture with water and alcohol [L2394].

Interestingly, this drug was studied for potential benefits in chronic ischemic heart failure patients.  PETN targeting reactive oxygen species generation halted the changes of mitochondrial antioxidant enzymes and progressive fibrotic remodeling, leading to amelioration of cardiac functional performance in rats with ischemic heart failure [A32649].",False
Rimonabant,True,False,DB06155,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,cannabinoid receptor antagonist,"CNR1, GPR55",,,Withdrawn,"Rimonabant is an anorectic anti-obesity drug produced and marketed by Sanofi-Aventis. It is an inverse agonist for the cannabinoid receptor CB1. Its main avenue of effect is reduction in appetite. Rimonabant is the first selective CB1 receptor blocker to be approved for use anywhere in the world. Rimonabant is approved in 38 countries including the E.U., Mexico, and Brazil. It was rejected for approval for use in the United States. This decision was made after a U.S. advisory panel recommended the medicine not be approved because it may increase suicidal thinking and depression.",False
Icatibant,True,False,DB06196,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Icatibant (Firazyr) is a synthetic peptidomimetic drug consisting of ten amino acids, and acts as an effective and specific antagonist of bradykinin B2 receptors. It has been approved in the EU for use in hereditary angioedema, and is under investigation for a number of other conditions in which bradykinin is thought to play a significant role. Icatibant currently has orphan drug status in the United States and FDA approved on August 25, 2011.",False
Rufinamide,True,False,DB06201,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,voltage-gated sodium channel blocker,"GRM5, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",neurology/psychiatry,seizures,Launched,"Rufinamide is a triazole derivative and an anticonvulsant medication to treat seizure disorders like Lennox-Gastuat syndrome, a form of childhood epilepsy. Clinical trials suggest its efficacy in the treatment of partial seizures.",False
Alogliptin,True,False,DB06203,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus,Launched,"Alogliptin is a selective, orally-bioavailable inhibitor of enzymatic activity of dipeptidyl peptidase-4 (DPP-4). Chemically, alogliptin is prepared as a benzoate salt and exists predominantly as the R-enantiomer (>99%). It undergoes little or no chiral conversion in vivo to the (S)-enantiomer. FDA approved January 25, 2013.",False
Silodosin,True,False,DB06207,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic receptor antagonist,"ADRA1A, ADRA1B, ADRA1D",urology,benign prostatic hyperplasia (BPH),Launched,"Silodosin is an α1-adrenoceptor antagonist that is selective for the prostate. Silodosin is for symptomatic treatment of benign prostatic hyperplasia. FDA approved Oct 9, 2008.",False
Prasugrel,True,False,DB06209,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,purinergic receptor antagonist,P2RY12,cardiology,"myocardial infarction, acute coronary syndrome (ACS)",Launched,"Prasugrel, a thienopyridine derivative, is a platelet activation and aggregation inhibitor structurally and pharmacologically related to clopidogrel and ticlopidine. Similar to clopidogrel, prasugrel is a prodrug that requires enzymatic transformation in the liver to its active metabolite, R-138727. R-138727 irreversibly binds to P2Y12 type ADP receptors on platelets thus preventing activation of the GPIIb/IIIa receptor complex. As a result, inhibition of ADP-mediated platelet activation and aggregation occurs. Prasugrel was developed by Daiichi Sankyo Co. and is currently marketed in the United States and Canada in cooperation with Eli Lilly and Company for acute coronary syndromes planned for percutaneous coronary intervention (PCI). FDA approved in 2009.",False
Asenapine,True,False,DB06216,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD4, HRH1, HRH2, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7",neurology/psychiatry,"schizophrenia, bipolar disorder",Launched,"Developed by Schering-Plough after its merger with Organon International, asenapine is a sublingually administered, atypical antipsychotic for treatment of schizophrenia and acute mania associated with bipolar disorder. Asenapine also belongs to the dibenzo-oxepino pyrrole class. It is also for severe post-traumatic stress disorder nightmares in soldiers as an off-label use. FDA approved on August 13, 2009.",False
Vernakalant,True,False,DB06217,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,potassium channel blocker,KCNA5,cardiology,atrial fibrillation (AF),Launched,Vernakalant was developed by Cardiome Pharma as as an antiarrhythmic drug intended for rapid conversion of atrial fibrillation to sinus rhythm. It acts as an atypical class III antiarrhythmic drug that potentiates its effect in higher heart rates. Intravenous formulation was approved in Europe in September 2010 as Brinavess and in Canada in April 2017. It is an investigational drug under regulatory review by FDA.,False
Avanafil,True,False,DB06237,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,phosphodiesterase inhibitor,PDE5A,urology,erectile dysfunction,Launched,"Avanafil is a new phosphodiesterase-5 inhibitor that is faster acting and more selective than other drugs belonging to the same class. Chemically, it is a derivative of pyrimidine and is only available as the S-enantiomer. FDA approved on April 27, 2012.",False
Droxidopa,True,False,DB06262,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,norepinephrine precursor,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH","cardiology, neurology/psychiatry","hypertension, Parkinson's Disease",Launched,"Droxidopa is a precursor of noradrenaline that is used in the treatment of Parkinsonism. It is approved for use in Japan and is currently in trials in the U.S. The racaemic form (dl-threo-3,4-dihydroxyphenylserine) has also been used, and has been investigated in the treatment of orthostatic hypotension. There is a deficit of noradrenaline as well as of dopamine in Parkinson's disease and it has been proposed that this underlies the sudden transient freezing seen usually in advanced disease.

Though L-DOPS has been used in Japan and Southeast Asia already for some time, it is also currently in clinical trials at the phase III point in the United States (U.S.), Canada, Australia, and throughout Europe. Provided L-DOPS successfully completes clinical trials, it could be approved for the treatment of neurogenic orthostatic hypotension (NOH) as early as 2011. Additionally, phase II clinical trials for intradialytic hypotension are also underway. Chelsea Therapeutics obtained orphan drug status (ODS) for L-DOPS in the U.S. for NOH, and that of which associated with Parkinson's disease , pure autonomic failure, and multiple system atrophy, and is the pharmaceutical company developing it in that country.",False
Sitaxentan,True,True,DB06268,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,endothelin receptor antagonist,EDNRA,,,Withdrawn,"Sitaxentan was marketed under the trade name Thelin for the treatment of pulmonary arterial hypertension (PAH) by Encysive Pharmaceuticals until Pfizer purchased Encysive in February 2008. In 2010, Pfizer voluntarily removed sitaxentan from the market over concerns of hepatotoxicity.",False
Amisulpride,True,False,DB06288,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dopamine receptor antagonist,"DRD2, DRD3, HTR2A, HTR7",neurology/psychiatry,"psychosis, bipolar disorder, schizophrenia",Launched,"Amisulpride (trade name Solian) is an antipsychotic drug sold by Sanofi-Aventis. It is not approved for use in the United States, but is approved for use in Europe and Australia for the treatment of psychoses and schizophrenia. Additionally, it is approved in Italy for the treatment of dysthymia (under the brand name Deniban). Amisulpride is a selective dopamine antagonist.",False
Saxagliptin,True,False,DB06335,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus,Launched,"Saxagliptin (rINN) is an orally active hypoglycemic (anti-diabetic drug) of the new dipeptidyl peptidase-4 (DPP-4) inhibitor class of drugs. FDA approved on July 31, 2009.",False
Ambrisentan,True,False,DB06403,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,endothelin receptor antagonist,"EDNRA, EDNRB",pulmonary,pulmonary arterial hypertension (PAH),Launched,"Ambrisentan is an orally active selective type A endothelin receptor antagonist indicated for the treatment of pulmonary arterial hypertension. It is approved in Europe, Canada and the United States for use as a single agent to improve exercise ability and delay clinical worsening. In addition, it is approved in the United States for use in combination with tadalafil to reduce the risks of disease progression, hospitalization and to improve exercise ability. Studies establishing the efficacy of Ambrisentan included patients with both idiopathic or heritable pulmonary arterial hypertension and those with pulmonary arterial hypertension associated with connective tissue diseases. Patients studied displayed symptoms and etiologies predominantly of WHO Functional Class II-III. As an endothelin receptor antagonist, Ambrisentan prevents endogenous endothelin peptide from constricting the muscles in blood vessels, allowing them to relax and permit a reduction in blood pressure.",False
Oxymetholone,True,False,DB06412,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Oxymetholone is a synthetic anabolic steroid marketed under the brand name Anapolon by Hoffmann La Roche Limitedand used in the treatment of osteoporosis, anaemia, and as an agent to stimulate muscle growth in malnourished or underdeveloped patients. Anabolic-androgenic steroids (AAS), such as oxymetholone, have been abused by bodybuilders and athletes. The uncontrolled misuse of oxymetholone can lead to a large variety of detrimental effects, the most often reported of which are cardiovascular events. In 2009, no producers of oxymetholone were identified worldwide (SRI 2009), but it was available from 14 suppliers, including 8 U.S. suppliers (ChemSources 2009).",False
